,date,family,keys,ref,ref type,summary,tags
29,"August 15, 2018",,['cs2800 textbook'],https://courses.cs.cornell.edu/cs2800/2017fa/handouts/mcs.pdf,url,"Mathematics for Computer Science, the textbook used in CS2800","['math', 'textbook']"
53,"August 20, 2018",fa18,"['algos textbook', 'algorithm design']","/Users/dylantsai/resources/downloads/Algorithm Design by Jon Kleinberg, Eva Tardos.pdf",file,Textbook used for algos (CS4820): Algorithm Design. URL: http://www.icsd.aegean.gr/kaporisa/index_files/algorithm_design.pdf,"['textbook', 'algorithm']"
56,"August 20, 2018",fa18,"['textbook', 'functional programming']",/Users/dylantsai/resources/downloads/oreilly-real-world-ocaml-functional-programming-for-the-masses-2014.pdf,file,OCaml for functional programming textbook (for CS3110). Interactive online textbook: https://v1.realworldocaml.org/v1/en/html/index.html,"['textbook', 'functional programming']"
59,"August 23, 2018",fa18,"['intro to ocaml', 'textbook']",/Users/dylantsai/resources/downloads/Linear_Algebra_and_Its_Applications_5th.pdf,file,"Intro to Objective Caml, CS3110 optional textbook, teaches OCaml. http://courses.cms.caltech.edu/cs134/cs134b/book.pdf","['textbook', 'computer_science', 'functional_programming', 'language']"
60,"August 23, 2018",fa18,"['the pragmatic programmer', 'textbook']",/Users/dylantsai/resources/downloads/1999 - The Pragmatic Programmer.pdf,file,"The Pragmatic Programmer, a 1999 textbook about software development concepts. http://210.240.189.214/gamedesign/type_exercise/00_9615_reference//5.%E5%AD%B8%E7%BF%92%E6%88%90%E6%9E%9C%E5%8F%83%E8%80%83/23/books/1999%20-%20The%20Pragmatic%20Programmer;%20From%20Journeyman%20To%20Master%20-%20Pearson%20Education.pdf","['textbook', 'software development']"
61,"August 23, 2018",fa18,"['textbook', 'programming principles']",/Users/dylantsai/resources/downloads/9780321278654.pdf,file,CS3110 recommended textbook. Covers programming principles for working in teams. http://ptgmedia.pearsoncmg.com/images/9780321278654/samplepages/9780321278654.pdf,['textbook']
