,date,family,keys,ref,ref type,summary,tags
54,"August 20, 2018",fa18,['linear algebra'],/Users/dylantsai/resources/downloads/Linear_Algebra_and_Its_Applications_5th.pdf,file,"Linear Algebra and its applications (5th edition), textbook for MATH2940. https://www.academia.edu/20025172/Linear_Algebra_and_Its_Applications_5th_Edition_","['textbook', 'math']"
55,"August 20, 2018",fa18,['probability and statistics textbook'],/Users/dylantsai/resources/downloads/Probability_and_Statistics_4th_Edition_b.pdf,file,"Probability and Statistics textbook (4th edition), textbook for BTRY3080. http://professor.ufabc.edu.br/~nelson.faustino/Ensino/IPE2016/Livros/Morris%20H%20DeGroot_%20Mark%20J%20Schervish-Probability%20and%20statistics-Pearson%20Education%20%20(2012)%20(1).pdf","['textbook', 'math', 'statistics']"
63,"September 03, 2018",aws,"['paper', 'introduce splatt', 'introduce tensors']",https://pdfs.semanticscholar.org/f5e2/cb0ded84067f0376cdddab22dbc8a38b7f94.pdf,url,Paper introducing SPLATT.,"['tensor', 'cpd', 'splatt', 'paper']"
