,date,family,keys,ref,ref type,summary,tags
36,"August 15, 2018",,['eft tapping for stress management'],https://www.wikihow.com/Use-the-Emotional-Freedom-Technique-(EFT),url,"Technique called ""tapping"" that helps reduce stress and quell strong feelings.",['therapy']
38,"August 15, 2018",,"['nlp', 'definition of a genius', 'seminar transcript']",http://teaminfoz.ucoz.com/_ld/0/17_John_Grinder_Ju.pdf,url,A transcript on a seminar about NLP with a focus on the psychology involved in communication.,"['psychology', 'cognitive science', 'textbook']"
