,date,family,keys,ref,ref type,summary,tags
16.0,14-Aug-18,,"['mingjie', 'excellent sheep']",/Users/dylantsai/resources/downloads/William_Deresiewicz_Excellent_Sheep_The_Miseducb-ok.xyz.epub,file,"Mingjie's recommendation, Excellent Sheep","['book', 'recommendation']"
36.0,"August 15, 2018",,['eft tapping for stress management'],https://www.wikihow.com/Use-the-Emotional-Freedom-Technique-(EFT),url,"Technique called ""tapping"" that helps reduce stress and quell strong feelings.",['therapy']
38.0,"August 15, 2018",,"['nlp', 'definition of a genius', 'seminar transcript']",http://teaminfoz.ucoz.com/_ld/0/17_John_Grinder_Ju.pdf,url,A transcript on a seminar about NLP with a focus on the psychology involved in communication.,"['psychology', 'cognitive science', 'textbook']"
39.0,"August 15, 2018",,"[""lin's recommendation"", 'john green']",turtles all the way down by john green,note,Made lin cry,"['no pdf', 'recommendation', 'book']"
53.0,"August 20, 2018",fa18,"['algos textbook', 'algorithm design']","/Users/dylantsai/resources/downloads/Algorithm Design by Jon Kleinberg, Eva Tardos.pdf",file,Textbook used for algos (CS4820): Algorithm Design. URL: http://www.icsd.aegean.gr/kaporisa/index_files/algorithm_design.pdf,"['textbook', 'algorithm']"
