,date,family,keys,ref,ref type,summary,tags
30,"August 15, 2018",,['2017 housing selection tutorial'],http://living.cornell.edu/live/apply/apply_undergrad/upload/room-selection-tutorial-2017.pdf,url,2017 official housing selection tutorial.,"['housing', 'on-campus', 'official']"
31,"August 15, 2018",,"['2018 housing preview', 'types of on-campus housing']",http://living.cornell.edu/live/apply/apply_undergrad/upload/Housing-Selection-Preview-Booklet-Fall-2017-for-18-19.pdf,url,Official preview of cornell on-campus housing options.,"['2018 housing preview', 'types of on-campus housing']"
33,"August 15, 2018",,['beer properties website'],http://beerproperties.com/wordpress/,url,website for Beer Properties.,['agency']
34,"August 15, 2018",,['general apartment search'],https://www.apartments.com/ithaca-ny/,url,Search for available apartments by location.,['agency']
35,"August 15, 2018",,"['collegetown housing', 'search function']",http://ithacarenting.com/collegetown-rentals/,url,Search for apartments by price and type (your mom).,['agency']
